mV','seconds'
-0.115,0
-0.115,0.002
-0.12,0.004
-0.12,0.006
-0.12,0.008
-0.12,0.01
-0.12,0.012
-0.115,0.014
-0.115,0.016
-0.115,0.018
-0.11,0.02
-0.11,0.022
-0.11,0.024
-0.11,0.026
-0.105,0.028
-0.105,0.03
-0.105,0.032
-0.105,0.034
-0.1,0.036
-0.1,0.038
-0.1,0.04
-0.1,0.042
-0.1,0.044
-0.1,0.046
-0.1,0.048
-0.1,0.05
-0.1,0.052
-0.095,0.054
-0.095,0.056
-0.095,0.058
-0.095,0.06
-0.09,0.062
-0.09,0.064
-0.09,0.066
-0.09,0.068
-0.085,0.07
-0.085,0.072
-0.085,0.074
-0.085,0.076
-0.085,0.078
-0.08,0.08
-0.08,0.082
-0.075,0.084
-0.07,0.086
-0.07,0.088
-0.065,0.09
-0.065,0.092
-0.06,0.094
-0.06,0.096
-0.06,0.098
-0.06,0.1
-0.065,0.102
-0.065,0.104
-0.06,0.106
-0.06,0.108
-0.055,0.11
-0.05,0.112
-0.05,0.114
-0.045,0.116
-0.04,0.118
-0.035,0.12
-0.03,0.122
-0.025,0.124
-0.02,0.126
-0.01,0.128
-0.005,0.13
0.005,0.132
0.01,0.134
0.02,0.136
0.025,0.138
0.025,0.14
0.03,0.142
0.03,0.144
0.03,0.146
0.035,0.148
0.035,0.15
0.04,0.152
0.045,0.154
0.055,0.156
0.065,0.158
0.075,0.16
0.085,0.162
0.095,0.164
0.1,0.166
0.105,0.168
0.11,0.17
0.115,0.172
0.12,0.174
0.125,0.176
0.125,0.178
0.125,0.18
0.125,0.182
0.125,0.184
0.12,0.186
0.12,0.188
0.115,0.19
0.11,0.192
0.105,0.194
0.105,0.196
0.1,0.198
0.1,0.2
0.1,0.202
0.1,0.204
0.095,0.206
0.09,0.208
0.085,0.21
0.075,0.212
0.065,0.214
0.05,0.216
0.04,0.218
0.025,0.22
0.015,0.222
0.01,0.224
0,0.226
-0.005,0.228
-0.01,0.23
-0.015,0.232
-0.02,0.234
-0.025,0.236
-0.035,0.238
-0.045,0.24
-0.055,0.242
-0.06,0.244
-0.065,0.246
-0.065,0.248
-0.06,0.25
-0.05,0.252
-0.035,0.254
-0.015,0.256
0,0.258
0.015,0.26
0.025,0.262
0.03,0.264
0.035,0.266
0.035,0.268
